#AltAGL, AltB, AltGPS, AltMSL, AltMSL Lag Diff, amp1, AOASimple, BaroA, COM1, COM2, CRS, DensityRatio, E1 EGT Divergence, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 FFlow, E1 OilP, E1 OilT, E1 RPM, FQtyL, FQtyR, GndSpd, HAL, HCDI, HDG, HPLfd, HPLwas, IAS, LatAc, MagVar, NormAc, OAT, Pitch, Roll, Stall Index, TAS, Total Fuel, TRK, True Airspeed(ft/min), volt1, VPLwas, VSpd, VSpd Calculated, VSpdG, WndDr, WndSpd, number_events = 0
AltAGL, AltB, AltGPS, AltMSL, AltMSL Lag Diff, amp1, AOASimple, BaroA, COM1, COM2, CRS, DensityRatio, E1 EGT Divergence, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 FFlow, E1 OilP, E1 OilT, E1 RPM, FQtyL, FQtyR, GndSpd, HAL, HCDI, HDG, HPLfd, HPLwas, IAS, LatAc, MagVar, NormAc, OAT, Pitch, Roll, Stall Index, TAS, Total Fuel, TRK, True Airspeed(ft/min), volt1, VPLwas, VSpd, VSpd Calculated, VSpdG, WndDr, WndSpd
0.0, 857.2, 733.2, 821.0, 1.2999999999999545, 6.7, NaN, 30.02, 120.55, 123.3, 27.0, 0.9964226442928267, 57.61000000000013, 1106.02, 1092.8, 1150.41, 1146.54, 2.74, 64.77, 140.49, 1189.0, 18.5, 24.0, 0.0, 3704.0, NaN, 175.8, 97.5, NaN, 0.0, 0.02, 3.2, -0.01, 17.0, 2.15, -0.94, NaN, 0.0, 42.5, 265.0, 0.0, 28.1, NaN, -15.97, 0.0, 0.0, NaN, NaN
0.0, 857.2, 733.0, 820.8, 0.7999999999999545, 6.6, NaN, 30.02, 120.55, 123.3, 27.0, 0.9964226442928267, 55.07999999999993, 1102.37, 1092.24, 1147.32, 1137.04, 2.75, 64.81, 140.44, 1191.3, 18.5, 24.0, 0.0, 3704.0, NaN, 175.7, 97.5, NaN, 0.0, 0.02, 3.2, -0.03, 17.0, 2.12, -0.93, NaN, 0.0, 42.5, 265.0, 0.0, 28.1, NaN, -16.0, 0.0, 0.0, NaN, NaN
0.0, 857.2, 732.6, 820.4, -0.8000000000000682, 6.6, NaN, 30.02, 120.55, 123.3, 27.0, 0.9964226442928267, 51.67000000000007, 1102.04, 1091.47, 1143.14, 1131.28, 2.74, 64.46, 140.34, 1153.6, 18.5, 24.0, 0.0, 3704.0, NaN, 175.8, 97.5, NaN, 0.0, 0.02, 3.2, 0.02, 17.0, 2.14, -0.92, NaN, 0.0, 42.5, 265.0, 0.0, 28.1, NaN, -16.0, 0.0, 3.9, NaN, NaN
0.0, 857.2, 733.0, 820.8, -0.5, 6.6, NaN, 30.02, 120.55, 123.3, 27.0, 0.9964226442928267, 64.43000000000006, 1100.18, 1088.7, 1153.13, 1129.39, 2.73, 64.45, 140.2, 1176.4, 18.51, 24.0, 0.0, 3704.0, NaN, 175.8, 97.5, NaN, 0.0, 0.0, 3.2, 0.02, 17.0, 2.13, -0.93, NaN, 0.0, 42.510000000000005, 265.0, 0.0, 28.1, NaN, -13.55, 0.0, 0.0, NaN, NaN
0.0, 857.2, 737.2, 825.0, 3.8999999999999773, 6.6, NaN, 30.02, 120.55, 123.3, 27.0, 0.9964226442928267, 52.91000000000008, 1098.77, 1113.9, 1151.68, 1129.71, 2.76, 64.67, 140.18, 1189.2, 18.52, 24.0, 0.0, 3704.0, NaN, 175.8, 99.0, NaN, 0.0, 0.02, 3.2, 0.03, 17.0, 2.13, -0.93, NaN, 0.0, 42.519999999999996, 265.0, 0.0, 28.1, NaN, -8.68, -30.0, 0.0, NaN, NaN
0.0, 856.2, 737.9, 825.8, 4.599999999999909, 6.5, NaN, 30.02, 120.55, 123.3, 27.0, 0.9964226442928267, 41.88999999999987, 1100.4, 1120.9, 1142.29, 1131.79, 2.77, 64.57, 140.03, 1164.0, 18.49, 24.0, 0.0, 3704.0, NaN, 175.8, 117.0, NaN, 0.0, 0.03, 3.2, -0.0, 17.0, 2.11, -0.96, NaN, 0.0, 42.489999999999995, 265.0, 0.0, 28.1, NaN, -13.19, -30.0, 0.0, NaN, NaN
0.0, 856.2, 738.5, 826.4, 4.7999999999999545, 6.5, NaN, 30.02, 120.55, 123.3, 27.0, 0.9964226442928267, 21.809999999999945, 1110.93, 1119.94, 1126.03, 1132.74, 2.8, 64.81, 139.91, 1187.8, 18.53, 24.0, 0.0, 3704.0, NaN, 175.8, 117.0, NaN, 0.0, 0.02, 3.2, -0.01, 17.0, 2.11, -0.96, NaN, 0.0, 42.53, 265.0, 0.0, 28.1, NaN, -15.89, 0.0, 3.9, NaN, NaN
0.0, 856.2, 737.8, 825.6, 4.5, 6.5, NaN, 30.02, 120.55, 123.3, 27.0, 0.9964226442928267, 25.88000000000011, 1114.57, 1125.41, 1124.77, 1140.45, 2.79, 64.85, 139.91, 1191.1, 18.51, 24.0, 0.0, 3704.0, NaN, 175.8, 117.0, NaN, 0.0, 0.0, 3.2, -0.01, 17.0, 2.12, -0.96, NaN, 0.0, 42.510000000000005, 265.0, 0.0, 28.1, NaN, -16.0, 0.0, 0.0, NaN, NaN
0.0, 856.2, 737.6, 825.4, 4.399999999999977, 6.5, NaN, 30.02, 120.55, 123.3, 27.0, 0.9964226442928267, 28.440000000000055, 1113.02, 1118.76, 1128.36, 1141.46, 2.8, 64.81, 139.82, 1187.9, 18.49, 24.0, 0.0, 3704.0, NaN, 175.8, 117.0, NaN, 0.0, 0.01, 3.2, 0.02, 17.0, 2.13, -0.97, NaN, 0.0, 42.489999999999995, 265.0, 0.0, 28.1, NaN, -15.87, 0.0, 0.0, NaN, NaN
0.0, 856.2, 738.4, 826.2, 5.2000000000000455, 6.4, NaN, 30.02, 120.55, 123.3, 27.0, 0.9964226442928267, 27.65000000000009, 1110.52, 1111.53, 1129.18, 1138.17, 2.79, 64.86, 139.73, 1188.1, 18.51, 24.0, 0.0, 3704.0, NaN, 175.9, 117.0, NaN, 0.0, 0.02, 3.2, 0.02, 17.0, 2.14, -0.96, NaN, 0.0, 42.510000000000005, 265.0, 0.0, 28.1, NaN, -11.42, 0.0, 0.0, NaN, NaN
0.0, 856.2, 737.8, 825.6, 4.600000000000023, 6.4, NaN, 30.02, 120.55, 123.3, 27.0, 0.9964226442928267, 29.2199999999998, 1108.34, 1106.15, 1132.16, 1135.37, 2.78, 64.94, 139.61, 1193.2, 18.51, 24.0, 0.0, 3704.0, NaN, 175.8, 117.0, NaN, 0.0, 0.03, 3.2, 0.01, 17.0, 2.14, -0.96, NaN, 0.0, 42.510000000000005, 265.0, 0.0, 28.1, NaN, -14.52, 0.0, 0.0, NaN, NaN
